"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Florida Gulf Coast",174,127,0.578073089700997,23512,22241,0.461769716088328,0.426794952681388,10685,3879,4473
"Florida International",124,170,0.421768707482993,22744,23183,0.442223974763407,0.444596214511041,9805,4206,4068
"Florida State",181,132,0.578274760383387,24500,23425,0.458187116564417,0.428162576687117,10618,4101,4387
"Fordham",118,167,0.414035087719298,20233,20898,0.413223333333333,0.448036666666667,9397,3720,3892
"Fresno State",157,142,0.525083612040134,22063,21703,0.444171974522293,0.435668789808917,9792,3665,3826
"Furman",201,114,0.638095238095238,25159,22846,0.462664652567976,0.440486404833837,10666,3844,5066
"Gardner-Webb",153,146,0.511705685618729,23513,22775,0.454990625,0.430925,10579,4039,4301
"George Mason",153,138,0.525773195876289,22087,21848,0.441961904761905,0.425965079365079,10676,3925,3791
"George Washington",154,151,0.504918032786885,22506,22453,0.439650943396226,0.43785534591195,10385,3817,4046
"Georgetown",109,156,0.411320754716981,20709,21100,0.435769503546099,0.442829787234043,9448,3625,3977
"Georgia",140,143,0.49469964664311,20997,21141,0.436719178082192,0.426729452054795,9707,3797,3706
"Georgia Southern",155,145,0.516666666666667,23100,22382,0.438238095238095,0.430069841269841,10270,3849,3601
"Georgia State",148,114,0.564885496183206,20206,19502,0.445572463768116,0.420007246376812,8836,3152,3458
"Georgia Tech",150,160,0.483870967741935,22414,22535,0.436941358024691,0.430064814814815,10587,3826,4486
"Gonzaga",265,44,0.857605177993528,26861,21230,0.51288253968254,0.402784126984127,11330,3379,5302
"Grambling",130,173,0.429042904290429,21055,21936,0.425050793650794,0.42688253968254,9952,4417,3469
"Grand Canyon",224,92,0.708860759493671,24144,21550,0.452343653250774,0.413578947368421,11011,3867,4440
"Green Bay",125,181,0.408496732026144,23423,24105,0.437616099071207,0.449910216718266,10093,3985,4331
"Hampton",116,151,0.434456928838951,20540,20948,0.420007067137809,0.437321554770318,9509,3364,3498
"Hartford",92,137,0.40174672489083,16634,17456,0.43055737704918,0.450459016393443,7019,3022,3041
"Harvard",110,106,0.509259259259259,15937,15667,0.444371179039301,0.42892576419214,7420,2945,3015
"Hawaii",176,113,0.608996539792388,21714,20611,0.445259016393443,0.430629508196721,9700,3791,4037
"High Point",173,121,0.58843537414966,23269,22117,0.457180952380952,0.437930158730159,10356,3676,4082
"Hofstra",192,111,0.633663366336634,24652,23037,0.459195652173913,0.439105590062112,10449,3398,4605
"Holy Cross",115,174,0.397923875432526,20075,21350,0.438334426229508,0.457859016393443,8437,3374,3843
"Houston",264,71,0.788059701492537,25588,21213,0.446542028985507,0.39111884057971,12054,3495,4715
"Houston Baptist",25,52,0.324675324675325,5860,6151,0.44245,0.4601375,2629,1232,1066
"Houston Christian",77,135,0.363207547169811,16559,17379,0.44396803652968,0.473799086757991,7251,3028,2961
"Howard",126,160,0.440559440559441,21897,22249,0.434823333333333,0.43808,9622,4241,3722
"IU Indy",16,48,0.25,4510,5012,0.4340625,0.491296875,1826,747,768
"IUPUI",75,150,0.333333333333333,16009,17334,0.432586497890295,0.462586497890295,7238,3316,2914
"Idaho",117,174,0.402061855670103,22076,22656,0.448,0.449857605177994,9531,3909,3919
"Idaho State",108,182,0.372413793103448,21163,21834,0.444744186046512,0.45858803986711,9085,3651,3551
"Illinois",187,128,0.593650793650794,25395,23686,0.448488023952096,0.436670658682635,11299,3812,4614
"Illinois State",156,145,0.518272425249169,22801,22503,0.441036809815951,0.432674846625767,10358,4020,4197
"Illinois-Chicago",124,174,0.416107382550336,22541,23191,0.431670886075949,0.438806962025316,10184,4139,4307
"Incarnate Word",112,173,0.392982456140351,21346,22341,0.446114478114478,0.465023569023569,8726,3930,3667
"Indiana",163,111,0.594890510948905,21751,20488,0.470215753424658,0.425571917808219,9746,3539,4311
